tokyo_time,tokyo_day,tokyo_hour,paris_time,shop,product,event,detail
2026-09-02 11:58,Wed,11,2026-09-02 04:58,Marukyu Koyamaen,Matcha Isuzu (五十鈴),in_stock,Available sizes: 40g (SKU 1191040C1; ¥2;520); 100g (SKU 1191100C1; ¥5;650); 100g (SKU 1F43100C6; ¥5;340)
2026-09-02 11:58,Wed,11,2026-09-02 04:58,Marukyu Koyamaen,Matcha Wako (和光),in_stock,Available sizes: 40g (SKU 1161040C1; ¥4;520); 100g (SKU 1161100C1; ¥10;650); 100g (SKU 1161100C6; ¥10;340)
2026-09-02 11:58,Wed,11,2026-09-02 04:58,Marukyu Koyamaen,Matcha Kinrin (金輪),in_stock,Available sizes: 40g (SKU 1151040C1; ¥5;720); 100g (SKU 1151100C1; ¥13;650); 100g (SKU 1151100C6; ¥13;340)
2026-09-02 12:59,Wed,12,2026-09-02 05:59,Marukyu Koyamaen,Matcha Wako (和光),sold_out,was available 1h00m
2026-09-02 13:58,Wed,13,2026-09-02 06:58,Marukyu Koyamaen,Matcha Isuzu (五十鈴),sold_out,was available 1h59m
2026-09-02 16:57,Wed,16,2026-09-02 09:57,Marukyu Koyamaen,Matcha Kinrin (金輪),sold_out,was available 4h58m
2026-09-03 17:02,Thu,17,2026-09-03 10:02,Marukyu Koyamaen,Matcha Isuzu (五十鈴),in_stock,Available sizes: 40g (SKU 1191040C1; ¥2;520); 100g (SKU 1191100C1; ¥5;650); 100g (SKU 1F43100C6; ¥5;340)
2026-09-03 17:02,Thu,17,2026-09-03 10:02,Marukyu Koyamaen,Matcha Wako (和光),in_stock,Available sizes: 40g (SKU 1161040C1; ¥4;520); 100g (SKU 1161100C1; ¥10;650); 100g (SKU 1161100C6; ¥10;340)
2026-09-03 17:02,Thu,17,2026-09-03 10:02,Marukyu Koyamaen,Matcha Kinrin (金輪),in_stock,Available sizes: 40g (SKU 1151040C1; ¥5;720); 100g (SKU 1151100C1; ¥13;650); 100g (SKU 1151100C6; ¥13;340)
2026-09-03 18:55,Thu,18,2026-09-03 11:55,Marukyu Koyamaen,Matcha Isuzu (五十鈴),sold_out,was available 1h53m
2026-09-03 18:55,Thu,18,2026-09-03 11:55,Marukyu Koyamaen,Matcha Wako (和光),sold_out,was available 1h53m
2026-09-03 18:55,Thu,18,2026-09-03 11:55,Marukyu Koyamaen,Matcha Kinrin (金輪),sold_out,was available 1h53m
2026-09-04 15:59,Fri,15,2026-09-04 08:59,Marukyu Koyamaen,Matcha Isuzu (五十鈴),in_stock,Available sizes: 40g (SKU 1191040C1; ¥2;520); 100g (SKU 1191100C1; ¥5;650); 100g (SKU 1F43100C6; ¥5;340)
2026-09-04 15:59,Fri,15,2026-09-04 08:59,Marukyu Koyamaen,Matcha Wako (和光),in_stock,Available sizes: 40g (SKU 1161040C1; ¥4;520); 100g (SKU 1161100C1; ¥10;650); 100g (SKU 1161100C6; ¥10;340)
2026-09-04 17:05,Fri,17,2026-09-04 10:05,Marukyu Koyamaen,Matcha Isuzu (五十鈴),sold_out,was available 1h05m
2026-09-04 20:02,Fri,20,2026-09-04 13:02,Marukyu Koyamaen,Matcha Wako (和光),sold_out,was available 4h02m
2026-09-07 16:59,Mon,16,2026-09-07 09:59,Marukyu Koyamaen,Matcha Isuzu (五十鈴),in_stock,Available sizes: 40g (SKU 1191040C1; ¥2;520); 100g (SKU 1191100C1; ¥5;650); 100g (SKU 1F43100C6; ¥5;340)
2026-09-07 16:59,Mon,16,2026-09-07 09:59,Marukyu Koyamaen,Matcha Wako (和光),in_stock,Available sizes: 40g (SKU 1161040C1; ¥4;520); 100g (SKU 1161100C1; ¥10;650); 100g (SKU 1161100C6; ¥10;340)
2026-09-07 16:59,Mon,16,2026-09-07 09:59,Marukyu Koyamaen,Matcha Kinrin (金輪),in_stock,Available sizes: 40g (SKU 1151040C1; ¥5;720); 100g (SKU 1151100C1; ¥13;650); 100g (SKU 1151100C6; ¥13;340)
2026-09-07 17:58,Mon,17,2026-09-07 10:58,Marukyu Koyamaen,Matcha Wako (和光),sold_out,was available 59m
2026-09-07 19:00,Mon,19,2026-09-07 12:00,Marukyu Koyamaen,Matcha Isuzu (五十鈴),sold_out,was available 2h00m
2026-09-08 00:08,Tue,00,2026-09-07 17:08,Marukyu Koyamaen,Matcha Kinrin (金輪),sold_out,was available 7h08m
2026-09-08 10:59,Tue,10,2026-09-08 03:59,Marukyu Koyamaen,Matcha Wako (和光),in_stock,Available sizes: 40g (SKU 1161040C1; ¥4;520); 100g (SKU 1161100C1; ¥10;650); 100g (SKU 1161100C6; ¥10;340)
2026-09-08 10:59,Tue,10,2026-09-08 03:59,Marukyu Koyamaen,Matcha Kinrin (金輪),in_stock,Available sizes: 40g (SKU 1151040C1; ¥5;720); 100g (SKU 1151100C1; ¥13;650); 100g (SKU 1151100C6; ¥13;340)
2026-09-08 13:02,Tue,13,2026-09-08 06:02,Marukyu Koyamaen,Matcha Wako (和光),sold_out,was available 2h02m
2026-09-08 14:06,Tue,14,2026-09-08 07:06,Marukyu Koyamaen,Matcha Kinrin (金輪),sold_out,was available 3h07m
